Country,Police Officers,"Police (Per 100,000)
100,000 people"
South Sudan,"700452000000000000052,000[90]",7002629000000000000629
Sri Lanka,"700489000000000000089,000[91]",7002438000000000000438
Spain,"7005231801000000000231,801[8]",7002511000000000000511
Swaziland,"70034164000000000004,164[92]",7002351000000000000351
Sweden,"700419144000000000019,144[8]",7002208000000000000208
Switzerland,"700417058000000000017,058[8]",7002224000000000000224
Thailand,"7005230000000000000230,000[93]",7002344000000000000344
Turkey,"7005412624000000000412,624[8]",7002538000000000000538
Tonga,7002418000000000000418[4],7002413000000000000413
Togo,"70034000000000000004,000[94]",700172000000000000072
Trinidad and Tobago,"70036500000000000006,500[95]",7002529000000000000529
Tuvalu,700172000000000000072[4],7002720000000000000720
United Kingdom,"7005167318000000000167,318[8]",7002307000000000000307
United States,"7005780000000000000780,000[96]",7002245000000000000245
Uruguay,"700427000000000000027,000[97]",7002813000000000000813
Vanuatu6,7002575000000000000575[4],7002277000000000000277
Vatican City,7002130000000000000130[98],"700415625000000000015,625"
Wallis and Futuna,700120000000000000020[4],7002136000000000000136
Zimbabwe,"700450000000000000050,000[99]",7002401000000000000401
